sesion_id,equipo,equipo_id,sintoma,antiguedad_anios,temp_ambiente,falla_diagnosticada_id,falla_correcta_id,fue_correcto,probabilidad,nivel_usuario,fecha
1,Refrigerador,1,hielo_puerta_mala,4,28.6,10,10,1,77,normal,2024-05-22 14:00:00
2,Congelador,2,comp_func_temp_mayor_0,5,30.6,3,3,1,96,normal,2024-12-15 17:00:00
3,Refrigerador,1,ruido_burbujeo,8,26.1,1,1,1,73,normal,2024-11-23 18:00:00
4,Cuarto Frio,5,trabaja_sin_parar_filt_no,9,28.4,1,1,1,93,tecnico,2024-04-27 20:00:00
5,Refrigerador,1,gotea,5,28.7,9,6,0,89,normal,2024-09-12 13:00:00
6,Enfriador Comercial,4,comp_func_cond_sucio,4,31.7,8,8,1,92,normal,2024-05-14 18:00:00
7,Cuarto Frio,5,cicla_hielo_no,13,26.7,1,15,0,94,normal,2024-01-25 20:00:00
8,Refrigerador,1,escarcha_poca_burbujeo_si,8,30.7,1,10,0,79,normal,2024-07-16 13:00:00
9,Cuarto Frio,5,cicla_hielo_no,7,36.8,1,8,0,94,tecnico,2024-12-15 15:00:00
10,Congelador,2,consumo_alto,5,27.6,8,8,1,93,normal,2024-01-02 18:00:00
11,Congelador,2,hielo_bordes,10,27.1,10,10,1,74,tecnico,2024-09-16 16:00:00
12,Aire Acondicionado,3,filtros_sucios,5,28.9,13,13,1,97,tecnico,2024-09-28 07:00:00
13,Cuarto Frio,5,cicla_hielo_si,7,31.9,11,14,0,87,normal,2024-05-03 16:00:00
14,Refrigerador,1,escarcha_mucha_ventilador_no,10,31.5,6,17,0,73,tecnico,2024-03-06 17:00:00
15,Enfriador Comercial,4,cristales_resist_no,3,23.6,16,3,0,96,tecnico,2024-07-23 17:00:00
16,Congelador,2,hielo_evaporador,13,28.1,11,11,1,74,normal,2024-02-02 12:00:00
17,Refrigerador,1,ruido_burbujeo,7,28.6,1,1,1,73,normal,2024-02-04 07:00:00
18,Congelador,2,comp_func_temp_0_10,7,28.7,1,1,1,76,normal,2024-10-03 09:00:00
19,Cuarto Frio,5,consumo_alto_cf,6,30.6,8,8,1,86,normal,2024-08-08 12:00:00
20,Enfriador Comercial,4,cristales_resist_si,6,21.9,16,16,1,85,normal,2024-11-26 08:00:00
21,Refrigerador,1,compresor_no_voltaje_no,10,29.6,17,17,1,94,normal,2024-03-12 13:00:00
22,Aire Acondicionado,3,exterior_no_control_no,6,27.2,12,1,0,87,normal,2024-10-08 08:00:00
23,Refrigerador,1,hielo_puerta_mala,20,34.4,10,4,0,77,normal,2024-09-05 14:00:00
24,Aire Acondicionado,3,gotea_nueva,14,20.0,9,9,1,72,normal,2024-07-18 11:00:00
25,Enfriador Comercial,4,comp_no_ec,6,41.7,3,3,1,90,tecnico,2024-03-20 10:00:00
26,Congelador,2,comp_func_temp_mayor_0,16,25.5,3,3,1,96,tecnico,2024-01-30 07:00:00
27,Cuarto Frio,5,cicla_hielo_no,7,30.4,1,8,0,94,tecnico,2024-02-05 16:00:00
28,Refrigerador,1,hielo_puerta_mala,12,27.1,10,10,1,77,tecnico,2024-10-18 10:00:00
29,Cuarto Frio,5,consumo_alto_cf,0,34.1,8,8,1,86,normal,2024-05-13 10:00:00
30,Congelador,2,comp_func_temp_mayor_0,4,31.9,3,3,1,96,normal,2024-08-22 12:00:00
31,Refrigerador,1,escarcha_mucha_ventilador_si,6,42.3,5,5,1,88,normal,2024-05-15 09:00:00
32,Congelador,2,comp_func_temp_0_10,13,28.9,1,1,1,76,normal,2024-10-05 18:00:00
33,Congelador,2,hielo_bordes,18,30.7,10,10,1,74,normal,2024-12-05 08:00:00
34,Aire Acondicionado,3,exterior_no_control_no,2,24.4,12,12,1,87,normal,2024-05-19 11:00:00
35,Cuarto Frio,5,trabaja_sin_parar_filt_no,10,30.6,1,1,1,93,normal,2024-01-27 08:00:00
36,Enfriador Comercial,4,comp_no_ec,0,34.4,3,3,1,90,normal,2024-05-14 09:00:00
37,Enfriador Comercial,4,cristales_resist_no,10,27.2,16,16,1,96,normal,2024-03-17 15:00:00
38,Refrigerador,1,compresor_no_voltaje_si,8,28.3,3,3,1,89,normal,2024-06-06 12:00:00
39,Refrigerador,1,compresor_no_voltaje_si,3,29.0,3,3,1,89,tecnico,2024-07-27 16:00:00
40,Aire Acondicionado,3,exterior_no_control_si,13,30.9,4,3,0,78,tecnico,2024-01-13 09:00:00
41,Congelador,2,hielo_evaporador,11,33.8,11,11,1,74,tecnico,2024-02-25 13:00:00
42,Refrigerador,1,ruido_vibracion,3,23.5,3,11,0,74,normal,2024-04-26 10:00:00
43,Refrigerador,1,hielo_puerta_mala,3,25.2,10,5,0,77,normal,2024-09-17 13:00:00
44,Cuarto Frio,5,cicla_hielo_si,15,36.0,11,11,1,87,tecnico,2024-04-01 16:00:00
45,Congelador,2,comp_func_temp_0_10,2,23.1,1,1,1,76,normal,2024-09-18 08:00:00
46,Enfriador Comercial,4,cristales_resist_no,3,31.6,16,16,1,96,normal,2024-09-23 19:00:00
47,Cuarto Frio,5,alarmas,10,28.7,15,15,1,90,normal,2024-12-06 12:00:00
48,Cuarto Frio,5,cicla_hielo_si,9,23.0,11,11,1,87,tecnico,2024-09-16 11:00:00
49,Enfriador Comercial,4,comp_no_ec,6,28.4,3,3,1,90,tecnico,2024-12-12 18:00:00
50,Aire Acondicionado,3,codigo_error,8,31.0,12,12,1,81,tecnico,2024-06-04 11:00:00
51,Aire Acondicionado,3,gotea_nueva,11,26.2,9,9,1,72,normal,2024-09-18 14:00:00
52,Aire Acondicionado,3,filtros_limpios_presion_normal,4,26.8,3,3,1,88,normal,2024-02-17 20:00:00
